date,2015_2ScienceCenter,2015_3Petes,2015_4Lowerwalker,2015_7Whitehouse,2015_8Tenmileconfluence,2015_9Hunters,2015_5Wilderness
2015-04-11 07:00:00,13.039,11.558,12.427,12.61,12.429,13.897,13.265999999999998
2015-04-11 08:00:00,12.726,13.313,13.116,14.929,12.993,12.831,12.827
2015-04-11 09:00:00,14.855,15.443,15.12,16.37,14.872,14.838,14.769
2015-04-11 10:00:00,16.295,16.695,16.435,17.434,16.25,16.404,16.334
2015-04-11 11:00:00,17.359,17.509,17.624000000000006,17.497,17.314,17.783,17.711
2015-04-11 12:00:00,17.546,17.697,17.874000000000006,17.622,17.564,17.908,17.774
2015-04-11 13:00:00,17.546,17.322,17.373,17.747,17.502,17.344,17.336
2015-04-11 14:00:00,18.11,18.574,18.187,18.811,16.312,14.649,17.336
2015-04-11 15:00:00,18.985,19.074,18.938,18.937,16.875999999999998,18.409,18.838
2015-04-11 16:00:00,18.923,18.824,18.875,18.749,17.564,18.534,20.652
2015-04-11 17:00:00,18.735,18.511,18.75,17.998,18.378,19.724,20.715
2015-04-11 18:00:00,17.734,17.384,17.686,16.62,12.304,18.597,17.774
2015-04-11 19:00:00,16.232,16.194000000000006,16.247,15.242,12.179,15.84,15.082
2015-04-11 20:00:00,14.73,14.628,14.682,13.488,12.116,13.333,11.762
2015-04-11 21:00:00,12.977,12.999,12.928,11.858,12.053,14.211,14.142
2015-04-11 22:00:00,11.536,11.62,11.362,10.479,11.928,14.273,14.393
2015-04-11 23:00:00,10.096,10.304,9.984,9.224,11.74,12.894,13.015
2015-04-12 00:00:00,8.905,9.175,8.793,8.158,11.552,11.89,12.013
2015-04-12 01:00:00,7.903,8.234,7.791,7.405,11.427,11.137,11.261
2015-04-12 02:00:00,7.276,7.795,7.226,7.217,11.302,10.761,10.947
2015-04-12 03:00:00,7.087999999999999,7.544,7.101,7.029,11.175999999999998,10.51,10.697
2015-04-12 04:00:00,6.9,7.292999999999998,6.976,6.84,10.988,10.321,10.446
2015-04-12 05:00:00,6.649,6.979,6.725,6.464,10.8,10.007,10.133
2015-04-12 06:00:00,6.273,6.539,6.349,6.024,10.612,9.631,9.757
2015-04-12 07:00:00,5.834,6.1629999999999985,5.91,5.773,10.487,9.254,9.381
2015-04-12 08:00:00,5.771,6.351,5.847,6.0870000000000015,10.362,9.694,9.757
2015-04-12 09:00:00,6.148,6.791,6.1610000000000005,7.405,10.299,7.056,7.312
2015-04-12 10:00:00,9.031,13.187,11.925999999999998,13.174,10.424,14.963,12.639
2015-04-12 11:00:00,14.793,15.755999999999998,16.184,15.367,10.675,17.469,14.769
2015-04-12 12:00:00,16.044,16.508,16.81,16.244,11.114,25.291,18.212
2015-04-12 13:00:00,16.921,17.447,17.749000000000006,17.998,11.552,19.16,18.274
2015-04-12 14:00:00,18.047,18.949,19.563,21.565,12.179,18.597,10.947
2015-04-12 15:00:00,21.237,22.265,23.504,25.566,12.931,20.162,11.198
2015-04-12 16:00:00,25.301,27.577,28.878,28.066,13.432,23.103,11.135
2015-04-12 17:00:00,26.988000000000003,26.328000000000007,27.066,26.754,13.62,24.041,10.947
2015-04-12 18:00:00,26.488000000000003,26.453000000000007,26.754,26.754,13.557,25.041,10.759
2015-04-12 19:00:00,25.926,24.141,25.316,23.191,13.369000000000002,23.165,10.697
2015-04-12 20:00:00,22.738000000000003,22.64,22.628,22.19,13.244000000000002,22.665,10.822
2015-04-12 21:00:00,22.113000000000003,21.89,21.628,21.502,13.056,22.415,11.01
2015-04-12 22:00:00,21.675,21.452,21.127,21.002,12.931,21.914,11.198
2015-04-12 23:00:00,21.3,20.951,20.564,20.564,12.617,21.476,11.323
2015-04-13 00:00:00,20.862,20.513,20.127,20.063,12.429,20.976,11.198
2015-04-13 01:00:00,20.362,20.075,19.563,19.625,12.179,20.475,11.01
2015-04-13 02:00:00,19.924,19.575,19.063,19.124,11.928,20.037,10.822
2015-04-13 03:00:00,19.486,19.137,18.562,18.749,11.678,19.536,10.634
2015-04-13 04:00:00,19.048,18.761,18.187,18.436,11.427,19.098,10.509
2015-04-13 05:00:00,18.798,18.574,17.999000000000006,18.311,11.175999999999998,18.722,10.383
2015-04-13 06:00:00,18.735,18.386,17.812,18.185,10.925999999999998,18.472,10.258
2015-04-13 07:00:00,18.548,18.198,17.686,18.123,10.738,18.221,10.133
2015-04-13 08:00:00,18.36,18.261,17.874000000000006,18.436,10.612,18.096,10.007
2015-04-13 09:00:00,18.485,18.511,18.25,18.624,10.612,18.221,9.882
2015-04-13 10:00:00,18.735,18.761,18.688,18.874,10.8,18.472,9.819
2015-04-13 11:00:00,18.985,19.199,19.188,19.312,11.175999999999998,18.785,9.882
