date,2015_2ScienceCenter
2015-04-11 06:02:01,16.795
2015-04-11 07:02:01,13.039000000000001
2015-04-11 08:02:01,12.725999999999999
2015-04-11 09:02:01,14.855
2015-04-11 10:02:01,16.295
2015-04-11 11:02:01,17.359
2015-04-11 12:02:01,17.546
2015-04-11 13:02:01,17.546
2015-04-11 14:02:01,18.11
2015-04-11 15:02:01,18.985
2015-04-11 16:02:01,18.923
2015-04-11 17:02:01,18.735
2015-04-11 18:02:01,17.734
2015-04-11 19:02:01,16.232
2015-04-11 20:02:01,14.73
2015-04-11 21:02:01,12.977
2015-04-11 22:02:01,11.536
2015-04-11 23:02:01,10.096
2015-04-12 00:02:01,8.905
2015-04-12 01:02:01,7.903
2015-04-12 02:02:01,7.276
2015-04-12 03:02:01,7.087999999999999
2015-04-12 04:02:01,6.9
2015-04-12 05:02:01,6.649
2015-04-12 06:02:01,6.273
2015-04-12 07:02:01,5.834
2015-04-12 08:02:01,5.771
2015-04-12 09:02:01,6.148
2015-04-12 10:02:01,9.031
2015-04-12 11:02:01,14.793
2015-04-12 12:02:01,16.044
2015-04-12 13:02:01,16.921
2015-04-12 14:02:01,18.047
2015-04-12 15:02:01,21.237
2015-04-12 16:02:01,25.301
2015-04-12 17:02:01,26.988000000000003
2015-04-12 18:02:01,26.488000000000003
2015-04-12 19:02:01,25.926
2015-04-12 20:02:01,22.738000000000003
2015-04-12 21:02:01,22.113000000000003
2015-04-12 22:02:01,21.675
2015-04-12 23:02:01,21.3
2015-04-13 00:02:01,20.862
2015-04-13 01:02:01,20.362000000000002
2015-04-13 02:02:01,19.924
2015-04-13 03:02:01,19.486
2015-04-13 04:02:01,19.048
2015-04-13 05:02:01,18.798
2015-04-13 06:02:01,18.735
2015-04-13 07:02:01,18.548
2015-04-13 08:02:01,18.36
2015-04-13 09:02:01,18.485
2015-04-13 10:02:01,18.735
2015-04-13 11:02:01,18.985
2015-04-13 12:02:01,19.361
2015-04-13 13:02:01,19.674
2015-04-13 14:02:01,19.799
2015-04-13 15:02:01,19.861
2015-04-13 16:02:01,19.861
2015-04-13 17:02:01,19.799
2015-04-13 18:02:01,19.799
2015-04-13 19:02:01,19.861
2015-04-13 20:02:01,20.049
2015-04-13 21:02:01,20.111
2015-04-13 22:02:01,19.799
2015-04-13 23:02:01,19.736
2015-04-14 00:02:01,19.674
2015-04-14 01:02:01,19.423
2015-04-14 02:02:01,19.111
2015-04-14 03:02:01,18.61
2015-04-14 04:02:01,18.485
2015-04-14 05:02:01,18.485
2015-04-14 06:02:01,18.235
2015-04-14 07:02:01,18.36
2015-04-14 08:02:01,18.485
2015-04-14 09:02:01,18.485
2015-04-14 10:02:01,18.61
2015-04-14 11:02:01,18.735
2015-04-14 12:02:01,18.798
2015-04-14 13:02:01,18.86
2015-04-14 14:02:01,18.985
2015-04-14 15:02:01,19.111
2015-04-14 16:02:01,19.236
2015-04-14 17:02:01,19.361
2015-04-14 18:02:01,19.486
2015-04-14 19:02:01,19.611
2015-04-14 20:02:01,19.674
2015-04-14 21:02:01,19.674
2015-04-14 22:02:01,19.736
2015-04-14 23:02:01,19.674
2015-04-15 00:02:01,19.611
2015-04-15 01:02:01,19.423
2015-04-15 02:02:01,19.236
2015-04-15 03:02:01,19.048
2015-04-15 04:02:01,18.923
2015-04-15 05:02:01,18.798
2015-04-15 06:02:01,18.735
2015-04-15 07:02:01,18.61
2015-04-15 08:02:01,18.485
2015-04-15 09:02:01,18.422
2015-04-15 10:02:01,18.235
2015-04-15 11:02:01,18.047
2015-04-15 12:02:01,18.11
2015-04-15 13:02:01,18.11
2015-04-15 14:02:01,18.235
2015-04-15 15:02:01,18.422
2015-04-15 16:02:01,18.61
2015-04-15 17:02:01,18.798
2015-04-15 18:02:01,18.923
2015-04-15 19:02:01,19.111
2015-04-15 20:02:01,19.173
2015-04-15 21:02:01,19.298
2015-04-15 22:02:01,19.423
2015-04-15 23:02:01,19.423
2015-04-16 00:02:01,19.423
2015-04-16 01:02:01,19.361
2015-04-16 02:02:01,19.236
2015-04-16 03:02:01,18.985
2015-04-16 04:02:01,18.798
