date,2018_above_upper_elder,2018_below_upper_elder,2018_below_edells,2018_redwood_grove,2018_petes,2018_lower_walker,2018_above_10mile_cascade,2018_tenmilepool_tail,2018_hunters_tail_bar,2018_merganser,2018_science_center,2018_wilderness_tail,2018_below_fox,2018_skunk
2018-05-13 10:00:00,12.14,12.52,12.01,11.88,11.54,13.0,13.12,14.63,14.15,12.61,12.27,12.44,12.22,11.88
2018-05-13 11:00:00,12.7,13.0,12.44,13.08,11.79,13.85,13.25,15.01,14.54,13.9,12.52,12.4,12.4,12.1
2018-05-13 12:00:00,13.21,13.64,12.95,13.43,12.57,14.33,14.24,15.44,15.66,13.43,12.82,12.78,14.45,12.82
2018-05-13 13:00:00,13.6,13.08,13.51,13.94,14.41,13.43,14.67,15.91,16.21,13.51,13.43,13.68,15.06,13.38
2018-05-13 14:00:00,13.9,13.55,13.98,14.41,15.01,13.64,15.01,16.64,16.64,14.67,13.94,14.03,14.11,14.15
2018-05-13 15:00:00,13.73,13.73,14.45,14.54,15.36,13.64,15.66,17.16,17.11,15.14,14.24,14.37,13.98,13.6
2018-05-13 16:00:00,13.9,13.9,14.03,14.07,14.8,13.81,15.91,17.03,17.5,15.48,13.77,14.11,13.81,13.98
2018-05-13 17:00:00,13.85,13.9,13.85,14.07,13.9,14.24,15.66,16.99,17.59,14.54,13.38,13.94,13.9,13.85
2018-05-13 18:00:00,13.81,13.85,13.64,13.85,13.85,14.5,15.44,16.81,17.24,14.11,13.38,13.98,14.2,13.73
2018-05-13 19:00:00,13.68,13.64,13.43,13.64,13.68,14.45,15.31,16.47,16.94,13.85,13.25,14.11,14.41,13.47
2018-05-13 20:00:00,13.38,13.43,13.12,13.34,13.47,14.24,15.14,16.21,16.51,13.94,13.21,14.28,14.33,13.12
2018-05-13 21:00:00,13.12,13.17,13.08,13.12,13.21,13.94,14.88,15.96,16.3,14.03,13.08,14.24,14.15,13.04
2018-05-13 22:00:00,13.0,13.0,12.95,13.0,13.0,13.64,14.67,15.66,16.0,14.11,12.95,14.15,13.9,12.95
2018-05-13 23:00:00,12.91,12.91,12.91,12.91,12.74,13.47,14.41,15.44,15.78,14.07,12.74,13.9,13.64,12.87
2018-05-14 00:00:00,12.78,12.74,12.7,12.82,12.65,13.34,14.07,15.23,15.53,13.94,12.52,13.73,13.47,12.74
2018-05-14 01:00:00,12.74,12.65,12.61,12.74,12.52,13.17,13.9,14.97,15.27,13.64,12.22,13.51,13.3,12.65
2018-05-14 02:00:00,12.57,12.57,12.4,12.61,12.44,12.95,13.64,14.8,15.1,13.47,12.1,13.34,13.12,12.4
2018-05-14 03:00:00,12.4,12.4,12.22,12.4,12.35,12.74,13.51,14.63,14.84,13.38,11.88,13.17,12.95,12.22
2018-05-14 04:00:00,12.27,12.27,12.01,12.27,12.18,12.57,13.51,14.45,14.71,13.12,11.79,13.0,12.82,12.1
2018-05-14 05:00:00,12.05,12.01,11.84,12.05,12.01,12.44,13.47,14.45,14.45,12.95,11.62,12.78,12.61,11.88
2018-05-14 06:00:00,11.84,11.88,11.67,11.84,11.84,12.35,13.43,14.28,14.41,12.74,11.58,12.61,12.44,11.75
2018-05-14 07:00:00,11.71,11.75,11.58,11.75,11.71,12.22,13.34,14.28,14.33,12.61,11.54,12.48,12.31,11.58
2018-05-14 08:00:00,11.67,11.62,11.58,11.67,11.67,12.22,13.25,14.24,14.28,12.57,11.54,12.44,12.31,11.58
2018-05-14 09:00:00,11.54,11.62,11.67,11.62,11.49,12.1,13.25,14.15,14.2,12.44,11.97,12.44,12.18,11.49
2018-05-14 10:00:00,11.79,12.35,11.97,11.71,11.45,13.04,13.34,14.8,14.41,12.61,12.1,12.44,12.14,11.71
2018-05-14 11:00:00,12.22,12.78,12.35,12.91,11.67,13.73,13.34,15.14,14.71,13.85,12.4,12.44,12.4,11.97
2018-05-14 12:00:00,12.87,13.51,12.87,13.38,12.4,14.2,14.33,15.57,15.74,13.47,12.74,12.7,14.33,12.48
2018-05-14 13:00:00,13.34,13.04,13.47,13.9,14.37,13.43,14.71,16.08,16.39,13.55,13.34,13.6,14.97,13.3
2018-05-14 14:00:00,13.85,13.64,13.98,14.33,14.93,13.6,15.1,16.77,16.81,14.67,13.9,14.07,14.11,14.15
2018-05-14 15:00:00,13.73,13.68,14.41,14.5,15.23,13.68,15.66,17.29,17.29,15.18,14.15,14.33,13.94,13.68
2018-05-14 16:00:00,13.77,13.77,14.63,13.85,15.01,13.77,15.96,17.16,17.63,15.48,14.28,14.11,13.81,14.84
2018-05-14 17:00:00,13.94,13.85,14.58,14.03,13.85,14.07,15.83,17.29,17.72,14.75,13.81,13.94,13.77,14.93
