date,2019_above_upper_elder,2019_below_upper_elder,2019_below_edells,2019_redwood_grove,2019_petes,2019_lower_walker,2019_whitehouse_tail,2019_above_10mile_cascade,2019_tenmilepool_tail,2019_hunters_tail_bar,2019_science_center,2019_wilderness_tail,2019_below_fox,2019_skunk
2019-05-12 08:00:00,11.97,11.84,11.79,11.92,11.97,12.61,13.51,13.64,14.71,14.75,11.92,13.25,12.7,11.79
2019-05-12 09:00:00,11.84,11.75,12.22,11.79,11.79,12.48,13.51,13.64,14.71,14.71,12.01,13.04,12.57,11.84
2019-05-12 10:00:00,12.44,11.92,12.74,11.92,11.75,12.87,13.77,13.77,15.74,14.88,12.27,13.08,12.57,12.01
2019-05-12 11:00:00,13.0,12.22,13.21,12.91,11.97,13.85,13.85,13.9,16.21,15.23,12.52,12.87,12.82,12.18
2019-05-12 12:00:00,13.77,13.12,13.77,13.43,12.7,14.41,14.07,15.06,16.73,16.69,12.95,13.12,14.24,12.57
2019-05-12 13:00:00,14.28,13.81,14.33,14.03,14.63,13.9,14.63,15.78,17.29,17.33,13.47,13.85,15.1,13.08
2019-05-12 14:00:00,13.85,14.03,14.88,14.45,15.36,14.03,15.14,16.47,17.76,17.84,14.07,14.45,14.58,14.07
2019-05-12 15:00:00,13.98,13.9,15.27,14.07,15.44,14.03,15.7,16.86,18.19,18.27,14.37,14.71,14.45,13.73
2019-05-12 16:00:00,14.11,13.98,14.75,14.03,14.67,14.07,16.0,16.73,17.93,18.27,14.03,14.5,14.28,14.2
2019-05-12 17:00:00,14.07,13.98,14.58,14.03,14.15,14.28,16.04,16.21,17.76,18.23,13.81,14.28,14.15,14.24
2019-05-12 18:00:00,14.07,13.98,14.2,14.11,14.07,14.58,15.87,16.08,17.59,18.06,13.6,14.2,14.33,14.15
2019-05-12 19:00:00,14.03,13.98,13.85,13.98,13.98,14.71,15.66,15.91,17.29,17.72,13.6,14.28,14.54,13.9
2019-05-12 20:00:00,13.81,13.81,13.55,13.81,13.85,14.67,15.4,15.7,16.99,17.37,13.64,14.37,14.71,13.68
2019-05-12 21:00:00,13.64,13.6,13.38,13.51,13.64,14.33,15.14,15.4,16.64,17.07,13.55,14.5,14.58,13.43
2019-05-12 22:00:00,13.34,13.34,13.3,13.3,13.43,13.98,14.84,15.1,16.3,16.69,13.38,14.45,14.28,13.3
2019-05-12 23:00:00,13.17,13.12,13.17,13.12,13.21,13.73,14.54,14.75,16.0,16.34,13.25,14.28,13.94,13.17
2019-05-13 00:00:00,13.0,12.91,13.0,13.04,12.95,13.51,14.2,14.54,15.7,16.04,12.95,13.98,13.68,13.0
2019-05-13 01:00:00,12.82,12.78,12.91,12.87,12.74,13.3,13.85,14.24,15.4,15.74,12.65,13.73,13.47,12.87
2019-05-13 02:00:00,12.74,12.57,12.65,12.74,12.57,13.17,13.68,13.9,15.1,15.44,12.4,13.47,13.3,12.74
2019-05-13 03:00:00,12.57,12.4,12.44,12.52,12.4,12.91,13.6,13.64,14.8,15.14,12.18,13.3,13.08,12.48
2019-05-13 04:00:00,12.35,12.22,12.18,12.31,12.22,12.74,13.47,13.34,14.54,14.84,11.92,13.08,12.87,12.27
2019-05-13 05:00:00,12.1,11.97,11.97,12.05,12.01,12.52,13.38,13.21,14.33,14.54,11.62,12.87,12.65,12.01
2019-05-13 06:00:00,11.88,11.75,11.71,11.84,11.79,12.27,13.21,13.12,14.15,14.33,11.49,12.65,12.4,11.71
2019-05-13 07:00:00,11.71,11.58,11.54,11.62,11.62,12.14,13.08,13.0,14.07,14.15,11.32,12.48,12.22,11.54
2019-05-13 08:00:00,11.49,11.32,11.45,11.45,11.49,12.01,12.95,13.0,13.98,14.07,11.45,12.7,12.05,11.41
2019-05-13 09:00:00,11.49,11.32,11.62,11.45,11.45,12.01,12.91,13.04,14.15,14.11,11.41,12.31,12.14,11.45
2019-05-13 10:00:00,11.75,11.41,11.79,11.58,11.49,12.18,13.08,13.25,14.63,14.24,11.49,12.27,12.14,11.62
2019-05-13 11:00:00,12.22,11.75,12.44,12.14,11.75,12.82,13.17,13.47,15.18,14.63,11.88,12.4,12.35,11.79
2019-05-13 12:00:00,13.21,12.57,13.38,12.91,12.27,13.6,13.38,14.33,15.78,15.44,12.57,12.61,13.43,12.18
2019-05-13 13:00:00,13.77,13.3,14.03,13.6,14.2,13.25,13.94,15.27,16.56,16.6,13.12,13.17,14.41,12.74
2019-05-13 14:00:00,13.34,13.51,14.37,14.03,14.63,13.51,14.33,15.83,16.69,17.11,13.6,13.68,13.94,13.6
2019-05-13 15:00:00,13.64,13.38,14.88,13.64,14.97,13.51,14.84,16.43,17.07,17.67,13.98,13.98,13.85,13.3
2019-05-13 16:00:00,13.64,13.6,14.63,13.64,14.67,13.64,15.23,16.34,17.11,18.02,13.85,13.98,13.73,14.07
2019-05-13 17:00:00,13.73,13.64,14.58,13.81,13.9,13.77,15.36,15.66,17.16,18.14,13.6,13.77,13.73,14.03
