cat,stream,next_stream,prev_str01,prev_str02,strahler,horton,shreve,hack,topo_dim,scheidegger,drwal_old,length,stright,sinosoid,cum_length,flow_accum,out_dist,source_elev,outlet_elev,elev_drop,out_drop,gradient
1,1,33,0,0,1,2,1,2,45,2,1,2435.011615,2221.681674,1.096022,2435.011615,10875.458466,123499.015944,842.916321,572.929871,269.986938,0.000488,0.110877
1,1,33,0,0,1,2,1,2,45,2,1,2435.011615,2221.681674,1.096022,2435.011615,10875.458466,123499.015944,842.916321,572.929871,269.986938,0.000488,0.110877
2,2,18,0,0,1,3,1,2,32,2,1,1544.78312,1358.735249,1.136927,1544.78312,7363.301239,77310.647547,779.271545,633.690063,146.583191,1.001709,0.094889
2,2,18,0,0,1,3,1,2,32,2,1,1544.78312,1358.735249,1.136927,1544.78312,7363.301239,77310.647547,779.271545,633.690063,146.583191,1.001709,0.094889
3,3,123,0,0,1,1,1,3,43,2,1,4610.607726,3789.137498,1.216796,4610.607726,20635.475724,110650.512008,753.0271,430.005249,323.022125,0.000275,0.070061
3,3,123,0,0,1,1,1,3,43,2,1,4610.607726,3789.137498,1.216796,4610.607726,20635.475724,110650.512008,753.0271,430.005249,323.022125,0.000275,0.070061
4,4,33,0,0,1,1,1,3,45,2,1,1054.999292,928.317965,1.136463,1054.999292,9221.760393,122119.003621,730.012634,573.808899,157.083252,0.879517,0.148894
4,4,33,0,0,1,1,1,3,45,2,1,1054.999292,928.317965,1.136463,1054.999292,9221.760393,122119.003621,730.012634,573.808899,157.083252,0.879517,0.148894
5,5,69,0,0,1,1,1,3,53,2,1,6481.180856,4819.202361,1.344866,6481.180856,11315.047963,137779.544037,725.298157,485.03186,241.577362,1.311066,0.037274
5,5,69,0,0,1,1,1,3,53,2,1,6481.180856,4819.202361,1.344866,6481.180856,11315.047963,137779.544037,725.298157,485.03186,241.577362,1.311066,0.037274
6,6,80,0,0,1,1,1,3,36,2,1,1589.291784,1437.223316,1.105807,1589.291784,4111.703659,97829.956436,718.541687,473.088318,249.254333,3.800964,0.156834
6,6,80,0,0,1,1,1,3,36,2,1,1589.291784,1437.223316,1.105807,1589.291784,4111.703659,97829.956436,718.541687,473.088318,249.254333,3.800964,0.156834
7,7,18,0,0,1,1,1,3,32,2,1,643.621705,597.237248,1.077665,643.621705,3612.510727,76409.486131,700.06543,634.21344,67.377075,1.525085,0.104684
7,7,18,0,0,1,1,1,3,32,2,1,643.621705,597.237248,1.077665,643.621705,3612.510727,76409.486131,700.06543,634.21344,67.377075,1.525085,0.104684
